state_range,action
[114.   8.  47.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[129.   9.  47.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[124.  10.  47.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[122.  11.  47.   4.   1.   3.   6.   0.   0. 163.],"0,0"
[122.  12.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[102.  13.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[100.  14.  97.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[136.   15.   97.    2.    2.5   1.    6.    0.    0.  163. ],"5,0"
[113.   16.   97.    3.    2.5   2.    6.    0.    0.  163. ],"0,0"
[ 87.   17.   97.    4.    2.5   3.    6.    0.    0.  163. ],"0,0"
[ 70.   18.    0.    0.    2.5   4.    6.    0.    0.  163. ],"0,0"
[ 60.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[ 95.  20.  91.   1.   0.   0.   6.   0.   0. 163.],"0,1"
[127.  21.  91.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[149.  22.  91.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[170.  23.  91.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[161.    0.    0.    0.    2.5   4.    6.    0.    0.  150. ],"1,0"
[108.   1.   0.   0.   0.   0.   6.   0.   0. 150.],"1,0"
[106.   2.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[105.   3.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[105.   4.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[101.   5.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[102.   6.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[100.   7.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[104.   8.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[100.   9.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 99.  10.  68.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[122.  11.  68.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[ 99.  12.  68.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[ 93.  13.  68.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[ 94.  14.   0.   0.   2.   4.   6.   0.   0. 150.],"0,0"
[ 68.  15.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[102.  16.   0.   0.   0.   0.   6.   0.   0. 150.],"0,1"
[105.  17.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[103.  18.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[100.  19.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 98.  20.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 99.  21.  74.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[132.  22.  74.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[137.  23.  74.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[133.   0.  74.   4.   2.   3.   6.   0.   0. 171.],"0,0"
[109.   1.   0.   0.   2.   4.   6.   0.   0. 171.],"0,0"
[ 70.   2.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 72.   3.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 67.   4.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 98.   5.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[ 99.   6.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[103.   7.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 98.   8.  63.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[118.    9.   63.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[ 94.   10.   63.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[ 74.   11.   63.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[ 66.   12.    0.    0.    1.5   4.    6.    0.    0.  171. ],"0,0"
[ 71.  13.  80.   1.   0.   0.   6.   0.   0. 171.],"0,1"
[106.  14.  80.   2.   2.   1.   6.   0.   0. 171.],"4,0"
[100.  15.  80.   3.   2.   2.   6.   0.   0. 171.],"0,0"
[ 80.  16.  80.   4.   2.   3.   6.   0.   0. 171.],"0,0"
[ 61.  17.   0.   0.   2.   4.   6.   0.   0. 171.],"0,0"
[ 57.  18.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[ 90.  19.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[ 85.  20.  58.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[109.   21.   58.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[108.   22.   58.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[106.   23.   58.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[ 98.    0.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 72.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 75.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 75.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 77.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 80.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 78.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 73.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 71.   8.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 72.   9.  45.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[ 90.  10.  45.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[ 86.  11.  45.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[ 85.  12.  45.   4.   1.   3.   6.   0.   0. 163.],"0,0"
[ 92.  13.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[ 75.  14.  68.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[102.   15.   68.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[107.   16.   68.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[103.   17.   68.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[ 96.   18.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 69.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[100.  20.  60.   1.   0.   0.   6.   0.   0. 163.],"0,1"
[122.   21.   60.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[121.   22.   60.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[125.   23.   60.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[126.    0.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
[ 90.   1.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 92.   2.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
